Handle,Title,"Body (HTML)",Vendor,"Standardized Product Type","Custom Product Type",Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant Inventory Policy","Variant Price","Variant Compare At Price","Image Src"
kids-star-warrior-darth-vader-costume,"Kids Star Warrior Darth Vader Costume","Material - Polyester, Mix
Darth Vader armor screen printed on the front
Black Cape attaches on the shoulders
Darth Vader half mask





Description
People cower in fear when you utter the name Darth Vader, the villainous Star Wars character! It might be his mastery over the Force. It might be his impressive lightsaber skills. If your child is looking to transform into the most menacing villain the galaxy has ever seen, then this is the costume for him! This Kids Darth Vader Costume comes with a cape, a mask and a sword.",Battery,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,85.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/148994733603962starwars.jpg?v=1581598108
kids-cowboy-vest-and-hat-costume,"Kids Cowboy Vest and Hat Costume","Includes Cowboy Vest and Hat
Polyester

Durable and stain resistant man-made fabrics","Fulfilled by Emarkiz.com","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,50.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151955489808328cowboy.jpg?v=1581598134
bob-the-builder-kids-costume,"Bob the Builder Kids Costume","A high quality of woven fabric will form an engineer costume which you will wear to act as desired character.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/bob-the-builder-engineer-1.jpg?v=1616874786
kids-doctor-set-with-helmet,"Kids Doctor Set with Helmet Costume","One Size Fits All from Ages 3-8 years.
Color: White
Includes Doctor coat, Helmet, Stethoscope, Syringe, Thermometer, Blood pressure measurements and other tools


This is a Doctors costume which your kids can wear for book day, assemblies, plays and any fancy dress at school. It come with with the doctors coat, stethoscope, syringe, thermometer, Helmet, blood pressure measurements and other tools.","Fulfilled by Emarkiz.com","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,65.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/1521269080683730967-1.jpg?v=1581542368
kids-doctor-surgeon-costume-set,"Kids Doctor Surgeon Costume Set","Age: 3+ Yrs
Includes: Jacket, Mask, Thermometer, a stethoscope, a reflex hammer, an ear scope, a syringe, and a name tag


The doctor will see you now. With this set your little doctor will be fully equipped with a jacket and mask, thermometer, a stethoscope with sound effect, a reflex hammer, an ear scope, a syringe, and a name tag for personalizing.
Dress up kit comes in a high-quality durable case with handle that makes storage and clean-up so simple!

The medical team will now be complete with the surgeon general joining in his costume!
Get ready for hours of pretend play with this adorable hospital theme kit for kids of all ages.
Set Includes: jacket, mask, thermometer, a stethoscope, a reflex hammer, an ear scope, a syringe, and a name tag.
Stethoscope with sound effects
Sized for 3-7 Years","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,75.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/152088094800825doctor.jpg?v=1581542369
boy-pilot-uniform-kids-costume,"Boy Pilot Uniform Kids Costume","A high quality of woven cotton will form a pilot costume which you will wear to act as desired character.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,90.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/pilot-boy-1.png?v=1616876928
halloween-spider-girl-kids-costume,"Halloween Spider Girl Kids Costume","This Spider Girl costume includes a purple and black jumpsuit with black bewitched full sleeves, a purple belt/band on the waist and spider web prints on the pants.","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,Size,Small,continue,56.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/150746979487770girl-spider.jpg?v=1581598463
police-officer-costume-set-for-kids,"Police Officer Costume Set for Kids","One Size Fits All from Ages 3-7 years.


Includes: Shirts, Belt, Hat, Hand Cuffs and Key, Whistle, Gun, walkie talkie and badge.


Police child Costume includes Shirts, Hat, Hand Cuffs and Key, Whistle, Walkie-Talkie and Badge.


Play cops and robbers with this police officer costume.

Handcuffs your friends at the next child costume party with this classic character costume.

This police costume is fun for almost every occasion. 

Your child can protect and serve with this amazing police child costume.","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,70.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/police5.jpg?v=1581598497
kids-military-force-uniform-costume,"Kids Military Force Uniform Costume","One Size Fits All from Ages 3-7 years



Includes: Vest, Hat, Wearable Map, Water jug, Walkie-talkie, Compass, Dagger, and Binoculars.





Description

Every boy loves pretending he's an army man, and this army costume set will make your little one smile.
Great quality soldier costume includes a vest, hat, wearable map, water jug, walkie-talkie, compass, dagger, and binoculars.
Role play set for kids ages 3-7 inlcudes all the essentials plus more, for hours of engaging fun and imaginative war play.
Your mini fighters will love dressing up in this army set, that includes army helmet and costume accessories. One-size fits all for children of all ages, great for halloween or costume parties of all kinds.
Dress up kit comes in a high-quality durable case with handle that makes storage and clean-up so simple.","Fulfilled by Emarkiz.com","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,80.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/1521269175263930953-_E6_8B_B7_E8_B4_9D.jpg?v=1581598621
lady-pilot-uniform-girl-costume-with-pants,"Lady Pilot Uniform Girl Costume with Pants","A high quality of woven cotton will form a pilot girl costume which you will wear to act as desired character.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151128429174823lady-pilot.jpg?v=1581542464
girl-princess-costume-yellow,"Girl Princess Kids Costume Yellow","Color: Yellow
One size only : Recommended for 3 to 5 years old
Good quality
Very good for developing children's creativity and imagination
Only Dress

No Accessories



Bring to life your kid's favorite character by letting her be that character she loves!","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,60.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151921579499847yellow-princess.jpg?v=1614686866
astronaut-kids-costume,"Astronaut Kids Costume","Age: 3-8 Yrs
Length: 98 - 103 cms length (stretch pants)

Chest: 79cm

Waist: 54 - 67 cms (Elastic band)



This adorable astronaut helmet is made of comfortable material
Its a One Size Fits Most.
Astronaut hat is a quick and easy costume. Helmet will complete any outfit so your ready for space
Great idea to give as a gift or a toy to any one who loves to dress up or any themed party.
Get ready to soar to outer-space in this adorable USA astronaut helmet. Helmet great quality so you know it will last.
Great way to keep your little one busy as he uses his imagination as soar to every planet.","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,95.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/astronaut1.jpg?v=1581598913
uae-police-officer-green-uniform-kids-costume,"UAE Police Officer Green Uniform Kids Costume","A high quality of woven cotton will form a UAE officer costume which you will wear to act as desired character.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,99.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/150973941504942uaeofficer-green.jpg?v=1581543571
kids-firefighter-costume-set,"Kids Firefighter Fireman Costume Set","Dress-up and play set with everything a child needs to look the part plus exciting accessories to spur imaginative play
Includes jacket, helmet, badge, fire extinguisher, bullhorn and reusable name tag
Accessories wipe clean
Standard (Carbon - Zinc)
Rechargeable (Nickel - Cadmium) batteries
Gender: Unisex
Ages: 3-7 Yrs



This Costume Set features a jacket made from high-quality Fabric.
It includes a helmet, badge, fire extinguisher, bullhorn and reusable name tag. 
Set is sure to provide hours of role playing fun. 
The jacket is trimmed with reflective material and is machine washable for easy care.
It also includes a belt for holding the accessories and a pocket for the name tag. 
This official-looking costume comes in one size and is designed for children aged 3 years and older.
The bullhorn also makes sound effects for added fun.

Standard(carbon-zinc) or Rechargeable (nickel-cadmium) batteries.","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,80.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/FIREMAN.jpg?v=1627457735
girl-witch-costume,"Girl Witch Kids Costume","Broom is not included.",Battery,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,85.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/150835813751066purplewitch.jpg?v=1581541916
airhostess-uniform-maroon-costume,"Air Hostess Uniform Maroon Kids Costume","A high quality of woven cotton will form  AIR HOSTESS costume which you will wear to act as desired character.  Includes Cap and attached Scarf.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,103.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/150952630826758airhostess-ettihad.jpg?v=1581540985
beautiful-princess-girl-yellow-costume-dress,"Beautiful Princess Yellow Girl Kids Costume Dress","Includes a one-piece Princess Gown
A Hairband covered with the matching fabric and color





Description
Has your daughter always dreamed of becoming a princess? Well with this girls princess fancy dress costume make her dreams a reality and give her the perfect happy ending. This Princess Costume Dress is intricately styled so you feel like a genuine princess wherever you decide to wear it.
The Yellow Dress is the perfect outfit for anyone who wants to dress as a favorite character from the popular fairy tale 'Beauty and the Beast.' When you don this gorgeous yellow gown, you will look just like Belle at the end of the film when she wins over the gruff beast and he transforms into the handsome prince. For a theme party, you can even gather friends to dress as the Beast, Cogsworth, Lumiere, Mrs. Potts and Chip to round out the whole Beauty and the Beast gang.
Included in this beautiful Kids Princess outfit is a lovely off-shoulder, with a strap, floor length gown. The top is decorated with the same color and fabric Bow in the middle of the chest with a brooch at the center of the bow. The skirt of this magical princess dress is ruffled with panels all the way until the bottom. And hairband covered with the same fabric is also included. 

Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/148861952075806princess-yellow.jpg?v=1581599204
uae-girl-costume,"UAE Girl Costume","UAE Costume",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,69.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/150964995338411uaeday-girl.jpg?v=1581543562
kids-tudor-prince-costume,"Kids Tudor Prince Costume","Includes a Blue Full-sleeve outfit with Lace trimming and a Lace Collar
A Blue matching Hat
Gold &amp; Blue Matching Shoes
A Golden Cape
A Sword

Earn your Right to the Throne and become the Most Powerful Monarch of all Time when you Choose this Fantastic Historical Costume. The Outfit comes complete with the Blue &amp; Gold Top with Tudor Style Long Sleeves and with Lace ends and Collar. The Gold Cape is also included along with a matching Hat and Shoes. Completing the Historical Costume is the Cropped Matching Gold Trousers.
A great looking outfit for a historical themed fancy dress party or School play.
 
Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,103.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/prince-tudor.jpg?v=1581599261
kids-clown-jester-costume,"Kids Clown Jester Costume","Ages: 3-8 Years


The Kids Jester clown costume includes a jumpsuit, a headcap and multicolored balls.","Fulfilled by Emarkiz.com","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,60.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/1521629710359860998.jpg?v=1581542364
airhostess-girl-blue-uniform-costume,"Air Hostess Girl Blue Uniform Kids Costume","A high quality of woven cotton will form  AIR HOSTESS costume which you will wear to act as desired character.
`",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,103.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/150952641052936airhostess-ba.jpg?v=1581540984
astronaut-space-kids-costume,"Astronaut Space Kids Costume","Every kid wants to be an astronaut! It'll probably be a few years before they can get into some real astronomical excitement, but they don't have to wait around to start their imaginary interstellar adventures in this Child Astronaut costume.
Astronauts have the best job out there, because not only do they get to be strapped onto a rocket and blast off to explore space, it's also the only job where wearing a super-puffy suit looks awesome! But while all of that fancy extra insulation comes in handy in the cold vacuum of space, this costume is made for planetary use. It's also better than a real suit because it doesn't come with a giant instruction manual that your little space cadet has to memorize before they can wear it; they just have to zip it up and they'll look ready for launch!
This bold looking bodysuit is the perfect uniform for make-believe missions, whether your intrepid traveler is taking a space walk to do some ship repairs, or hiking around on an alien world.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/astronaut-boy.jpg?v=1581541041
boy-pilot-costume-kit,"Boy Pilot Kids Costume Kit","Includes a uniform jacket with attached shirt, hat, detachable tie and flight wings, steering yoke and reusable activity card
Promotes imagination, communication skills, and creative play
Washable
Size fits most between 3-8 years","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/1521269932824390995.jpg?v=1581599441
kids-elephant-costume,"Elephant Animal Velvet Kids Costume","Includes one-piece Jumpsuit with hands covered and a Back Zipper
Separate Head mask with attached Ears and opening for the Eyes
Includes Feet flaps
Material - Velvet, Polyester Mix
This Elephant costume comprises of a grey jumpsuit with a little white front detailing and feet flaps. It is completed with a face mask with open the Elephant's eyes ears and trunk. Great for any School play, Book day or a fancy dress party.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/148843581064687elephant.jpg?v=1581541703
kids-rabbit-costume,"Kids Rabbit Animal Costume","Includes one-piece Jumpsuit with Hands covered and a Back Zipper
A Head Mask with attached Ears and opening for the Eyes
Material - Jorsay/Polyster





Description
Your little boy or girl will be hopping with joy when they're wearing this Kids White Rabbit Costume. Included is a white and pink one-piece plush jumpsuit with attached gloves. Completing the Bunny Costume is an attached hood styled with rabbit's face and attached ears. A perfect costume for an assembly, a play in school or an Easter fancy dress party.
  
Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email to support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,Color,White,Size,2-3,continue,69.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/rabbitgirl.jpg?v=1581542385
kids-construction-worker-handyman-builder-costume,"Kids Construction Worker Handyman Builder Costume","Ages: 3-8 Yrs
Vest (Top) Size Length: ~17.5cm
Color: Yellow
Gender: Unisex
Includes hammer, saw, pliers and screwdriver
Realistic nylon vest, hat and tool belt
Vest: 100% Polyester exclusive of decoration.
Perfect for Costume day or role play
Complete Play set
Helps kids Play and learn


 Washing Instructions:

Machine wash, cold
Gentle cycle 
Non-Chlorine bleach when needed
Do not Iron 
Hang to dry","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,65.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/1521269396719420950.jpg?v=1581599721
arab-kandura-set-kids-costume,"Arab Kandoora Set Kids Costume","This Arab Kandura Set features a white long gown with long sleeves. Also included is the white headpiece called Shemagh or Ghutra.
Cotton 65%
Polyester 35%.
The Agal (black rings) are not included. For Agal, you can select here -





 https://uae.emarkiz.com/collections/party-stuff/products/arab-dress-agal-rings","Fulfilled by Emarkiz.com","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,65.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151129603212869kandoora1-copy.jpg?v=1581541005
roman-boy-costume,"Roman Boy Costume","Includes a White Robe
Attached shoulder Drape
A Belt &amp; Cuffs
A Headpiece





Description
The Romans were experts when it comes to the art of war and the business of politics. Those are two very stressful trades that the Roman Empire excelled in. So whenever given the opportunity to take a break from it all, the Roman’s took full advantage. Their leisure time started with the garbs they wore, loose fitting togas and sandals. So, with this awesome Roman Boy’s Costume, your little Emperor will instead be fitted with a cozy robe that matches the style of ancient Roman fashion. There is even a red shoulder drape to give the outfit a more authentic feel. Once you grab your kiddo a pair of Roman Sandals his transformation will be complete! He’s sure to give everyone a delightful blast to the past with this historic costume.
Perfect for any fancy dress party, World Book Day or School Play.

Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/148811868159872roman_boy.jpg?v=1581543227
explorer-zoo-keeper-safari-suit-kids-costume,"Explorer Zoo Keeper Safari Suit Kids Costume","First picture shown only as a representation
Hat as separately shown in the picture





Description

* Full suit similar but not identical as first picture",Kostumes,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,90.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151635374921246IMG-20180111-WA0021.jpg?v=1581599933
kids-roman-warrior-costume,"Kids Roman Warrior Costume","Red Tunic with Gold decoration and cuffs
Gold fabric Armour with red panels
White bottoms (can be worn optionally)
Silver hat with white feathers
A Sword is included





Description
Dress up your little soldier like a Roman Centurion in our Roman Warrior Fancy Dress Costume. This warrior costume comes complete with a red full-sleeves tunic top with fitted cuffs, contrasting gold thick fabric armour with attached red &amp; gold panels. Completing the look is a sillver centurion style hat with white feather detailing. A superb costume for a Roman themed fancy dress occasion.

Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,148.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/152473314275565roman-warrior.jpg?v=1581600021
