Handle,Title,"Body (HTML)",Vendor,"Standardized Product Type","Custom Product Type",Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Price","Variant Compare At Price","Image Src"
barex-joc-care-restructuring-shampoo,"Paraben & Sulphate Free Barex JOC Care Damaged Hair Restructuring Shampoo 250ml","250 ml Sodium Lauryl Sulfate (SLS) Free Paraben Free Dermatologically Tested Country of Origin: Italy Deeply nourishes and restores damaged and weakened hair, giving them radiance and strengthening them.Â Hair becomes incredibly soft, silky and easy to lay. Argan oil: instantly restores the structure of the fibers, sealing them and simultaneously protects the hair from the negative effects of the environment. Cocoa beans: due to the softening oil included in their composition, this shampoo is a very mild cleanser. Other active ingredients: Wheat proteins, conditioning polymers Directions for use: apply the shampoo to damp hair and scalp with gentle massage movements until the foam forms, leave for a few minutes, then rinse off with water.Â For best results, use JOC CARE ""DEEP RESTORATION"" together with the MASKO.",Enigma,,,false,,,,,shopify,10,continue,235.00,59.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/152077213943745barex-joc-care-restructuring-shampoo-250ml_Orange_1b09fa15-5b6a-4695-9b12-6361904e6353_1080x1080_pad_ffffff.jpg.jpg?v=1645794415
paraben-and-sulfate-free-barex-joc-cure-soothing-shampoo-1000-ml,"Paraben and Sulphate Free Barex JOC CURE Sensitive Scalp Soothing Shampoo 1000ml","Incredibly delicate, formulated to calm and provide relief to scalp thanks to an efficient complex of officinal herbs. SLES FREE PARABEN FREE DERMATOLOGICALLY TESTED",Enigma,,,false,,,,,shopify,10,continue,200.00,89.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Barex_JOC_CURE_Soothing_Shampoo_1000_ml_70c380bd-e0e5-4395-baa3-86342c1e095e_1_1080x1080_pad_ffffff.jpg.jpg?v=1646398635
paraben-and-sulfate-free-barex-joc-cure-energizing-shampoo-1000-ml,"Paraben and Sulphate Free Barex JOC CURE Hair Loss Tendencies Energizing Shampoo 1000ml","SLES FREE PARABEN FREE DERMATOLOGICALLY TESTED Immediate energy shampoo. The invigorating and vascularising action energizes scalp, giving a long lasting sensation of vitality and wellness.",Enigma,,,false,,,,,shopify,1,continue,400.00,100.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Barex_JOC_CURE_Energizing_Shampoo_1000_ml_2eadf9eb-bd3d-4aaf-b89d-1dd3e1619391_1080x1080_pad_ffffff.jpg.jpg?v=1647426683
paraben-free-barex-joc-care-smoothing-shampoo-1000-ml,"Paraben and Sulphate Free Barex JOC CURE Frizzy & Unruly Hair Smoothing Shampoo 1000ml","Magnolia & Linseed PARABEN FREE DERMATOLOGICALLY TESTED Gentle and nourishing, specifically designed to give smoothness to frizzy and unruly hair. It delicately cleanses, making hair easy to comb and style while eliminating static electricity.",Enigma,,,false,,,,,shopify,19,continue,226.00,89.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Barex_JOC_Care_Smoothing_Shampoo_1000_ml_e13e5d04-9c30-4d54-a2d9-820a319795cd_1080x1080_pad_ffffff.jpg.jpg?v=1647426733
paraben-free-barex-olioseta-silk-and-linseed-shampoo-250ml,"Paraben Free Barex OLIOSETA Silk and Linseed Shampoo 250ml","Specific Features: Burdock extract works on the greasy roots with an astringent and purifying action, while a series of active elements, including panthenol, act along the entire length of the hair, attaching themselves particularly to the damaged areas. Silk and Linseed in the formulation: Silk Proteins: Ensure ideal hydration by forming a protective film which prevents excessive evaporation of the hair and scalp's moisture content. Linseed extract performs and effective restructuring and elsatifying action. Application: Apply onto wet hair and gently massage. Wait a few minutes then rinse. Repeat if necessary. Result: Hair twice as easy to comb and twice as shiny from roots to tips.",Enigma,,,false,,,,,shopify,3,continue,102.00,85.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/olioseta-lineseed-shampoo_90e43de5-f81d-4483-98c7-c7d83686b6c4_1080x1080_pad_ffffff.png.jpg?v=1645794449
barex-contempora-velvet-shampoo-500ml,"Barex Contempora Smoothing Velvet Hair Shampoo with Argan Oil and Sea Buckthorn Oil 500ml","There are many ways to achieve smooth, shiny hair: this is chemical, keratin straightening, etc. But the easiest and safest way is to use smoothing shampoos, masks, serums and oils. The effect lasts 1-2 days and the procedure must be repeated after each shampooing, but it is worth it. You do not injure your hair, but on the contrary smoothing it, provide it with nutrition, restoration and protection from thermal and other adverse effects. Ultra Shining Velvet Shampoo (Barex Italiana) creates the effect of soft, velvety hair. Eliminates excessive fluffiness, gives smoothness and obedience to the hair in the further care and styling. Argan oil - nourishes, moisturizes, gives hair density and shine. Sea buckthorn oil is a natural fruit oil. Restores and strengthens the hair, counteracting their stiffness. Contains an incredible amount of vitamins, minerals, nutrients of plant origin and antioxidants, the combination of which represents the perfect and complete recipe for beauty hair. Result of application: Smooth, soft, velvet-like hair. Moisturizes, gives density to hair. The composition of the product: Sea buckthorn oil, argan oil. Mode of application: Apply Contempora “Shining Velvet” shampoo to wet hair, massage and leave to act for a few minutes. Wash off with plenty of water. If necessary, repeat the procedure. Apply the Shining Velvet mask to clean damp hair . Spread evenly over hair and leave for several minutes. Then rinse with water. Additionally, use the Shining Velvet oil , which can be applied to both wet and dry hair. Release form: 500 ml bottle",Enigma,,,false,,,,,shopify,10,continue,50.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Barex_CONTEMPORA_Velvet_Shampoo_500ml_c8f2e50a-1863-4a84-8fc4-f53b2b6b65f2_1080x1080_pad_ffffff.png.jpg?v=1645794450
cheetah-kids-animal-costume,"Cheetah Kids Animal Costume","The Cheetah Costume is a beige and brown spotted costume that comes with an all in one Scaled-design Jumpsuit with the head and face of a cheetah that sits on the head of the child.",Battery,,,false,Size,"Small(2-3 Yrs)",,,shopify,0,continue,89.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Screen_Shot_2019-05-16_at_1.55.59_PM_479c230c-c902-4d47-b714-1f640c88c311_1080x1080_pad_ffffff.png.jpg?v=1645794456
cheetah-kids-animal-costume,"Cheetah Kids Animal Costume","The Cheetah Costume is a beige and brown spotted costume that comes with an all in one Scaled-design Jumpsuit with the head and face of a cheetah that sits on the head of the child.",Battery,,,false,Size,"Medium(4-5 Yrs)",,,shopify,0,continue,89.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Screen_Shot_2019-05-16_at_1.55.59_PM_479c230c-c902-4d47-b714-1f640c88c311_1080x1080_pad_ffffff.png.jpg?v=1645794456
cheetah-kids-animal-costume,"Cheetah Kids Animal Costume","The Cheetah Costume is a beige and brown spotted costume that comes with an all in one Scaled-design Jumpsuit with the head and face of a cheetah that sits on the head of the child.",Battery,,,false,Size,"Large(6-7 Yrs)",,,shopify,3,continue,89.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Screen_Shot_2019-05-16_at_1.55.59_PM_479c230c-c902-4d47-b714-1f640c88c311_1080x1080_pad_ffffff.png.jpg?v=1645794456
peter-pan-green-kids-costume,"Peter Pan Green Kids Costume","Includes Top, Pant, Belt, Hat. Peter Pan is a popular character from the Disney animated film. You receive a green tunic top featuring tattered sleeves, pull strings along the chest, and a cameo image of Peter Pan. There is also a pair of brown slacks and large belt included. Top it off with the green cap that has a red feather sticking from the tip. Have a magically fun-filled time with the Peter Pan costume.",Battery,,,false,Size,Small,,,shopify,0,continue,90.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/s-l400_934c3d1b-85d7-41cf-895c-6a43c17cca2f_1080x1080_pad_ffffff.jpg.jpg?v=1645794477
peter-pan-green-kids-costume,"Peter Pan Green Kids Costume","Includes Top, Pant, Belt, Hat. Peter Pan is a popular character from the Disney animated film. You receive a green tunic top featuring tattered sleeves, pull strings along the chest, and a cameo image of Peter Pan. There is also a pair of brown slacks and large belt included. Top it off with the green cap that has a red feather sticking from the tip. Have a magically fun-filled time with the Peter Pan costume.",Battery,,,false,Size,Medium,,,shopify,0,continue,90.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/s-l400_934c3d1b-85d7-41cf-895c-6a43c17cca2f_1080x1080_pad_ffffff.jpg.jpg?v=1645794477
peter-pan-green-kids-costume,"Peter Pan Green Kids Costume","Includes Top, Pant, Belt, Hat. Peter Pan is a popular character from the Disney animated film. You receive a green tunic top featuring tattered sleeves, pull strings along the chest, and a cameo image of Peter Pan. There is also a pair of brown slacks and large belt included. Top it off with the green cap that has a red feather sticking from the tip. Have a magically fun-filled time with the Peter Pan costume.",Battery,,,false,Size,Large,,,shopify,2,continue,90.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/s-l400_934c3d1b-85d7-41cf-895c-6a43c17cca2f_1080x1080_pad_ffffff.jpg.jpg?v=1645794477
peter-pan-green-kids-costume,"Peter Pan Green Kids Costume","Includes Top, Pant, Belt, Hat. Peter Pan is a popular character from the Disney animated film. You receive a green tunic top featuring tattered sleeves, pull strings along the chest, and a cameo image of Peter Pan. There is also a pair of brown slacks and large belt included. Top it off with the green cap that has a red feather sticking from the tip. Have a magically fun-filled time with the Peter Pan costume.",Battery,,,false,Size,XLarge,,,shopify,2,continue,90.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/s-l400_934c3d1b-85d7-41cf-895c-6a43c17cca2f_1080x1080_pad_ffffff.jpg.jpg?v=1645794477
elephant-animal-kids-costume,"Elephant Animal Kids Costume","Includes one-piece Jumpsuit with a Back Zipper Separate Head mask with attached Ears and opening for the Eyes Material - Jersey This Elephant costume comprises of a grey jumpsuit with a little white front. It is completed with a face mask with open the Elephant's eyes ears and trunk. Great for any School play, Book day or a fancy dress party.",Sharjah,,,false,,,,,shopify,3,continue,69.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/elephant-costume-jersey_34f7b6f4-41e8-4c45-8f4d-785453054149_1080x1080_pad_ffffff.jpg.jpg?v=1645794481
elephant-animal-kids-costume,"Elephant Animal Kids Costume","Includes one-piece Jumpsuit with a Back Zipper Separate Head mask with attached Ears and opening for the Eyes Material - Jersey This Elephant costume comprises of a grey jumpsuit with a little white front. It is completed with a face mask with open the Elephant's eyes ears and trunk. Great for any School play, Book day or a fancy dress party.",Sharjah,,,false,,,,,shopify,0,continue,69.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/elephant-costume-jersey_34f7b6f4-41e8-4c45-8f4d-785453054149_1080x1080_pad_ffffff.jpg.jpg?v=1645794481
elephant-animal-kids-costume,"Elephant Animal Kids Costume","Includes one-piece Jumpsuit with a Back Zipper Separate Head mask with attached Ears and opening for the Eyes Material - Jersey This Elephant costume comprises of a grey jumpsuit with a little white front. It is completed with a face mask with open the Elephant's eyes ears and trunk. Great for any School play, Book day or a fancy dress party.",Sharjah,,,false,,,,,shopify,3,continue,69.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/elephant-costume-jersey_34f7b6f4-41e8-4c45-8f4d-785453054149_1080x1080_pad_ffffff.jpg.jpg?v=1645794481
elephant-animal-kids-costume,"Elephant Animal Kids Costume","Includes one-piece Jumpsuit with a Back Zipper Separate Head mask with attached Ears and opening for the Eyes Material - Jersey This Elephant costume comprises of a grey jumpsuit with a little white front. It is completed with a face mask with open the Elephant's eyes ears and trunk. Great for any School play, Book day or a fancy dress party.",Sharjah,,,false,,,,,shopify,2,continue,69.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/elephant-costume-jersey_34f7b6f4-41e8-4c45-8f4d-785453054149_1080x1080_pad_ffffff.jpg.jpg?v=1645794481
tiger-kids-animal-velvet-costume,"Tiger Kids Animal Costume With Foot Cover & Mittens","Includes one-piece Jumpsuit with hands covered and a Back Zipper Separate Head mask with attached Ears with Opening for the Eyes Includes Feet flaps Material - Polar fabric Child Tiger Costume comes complete with an All in One Jumpsuit with separate Feet Covers and Mitten Hands. The Jumpsuit also includes an attached Tail. Completing the Outfit with the Character complete Headpiece with attached Ears, with an opening for the Eyes. Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,,,false,,,,,shopify,2,continue,93.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/tiger-costume_1080x1080_pad_ffffff.jpg.jpg?v=1645970865
tiger-kids-animal-velvet-costume,"Tiger Kids Animal Costume With Foot Cover & Mittens","Includes one-piece Jumpsuit with hands covered and a Back Zipper Separate Head mask with attached Ears with Opening for the Eyes Includes Feet flaps Material - Polar fabric Child Tiger Costume comes complete with an All in One Jumpsuit with separate Feet Covers and Mitten Hands. The Jumpsuit also includes an attached Tail. Completing the Outfit with the Character complete Headpiece with attached Ears, with an opening for the Eyes. Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,,,false,,,,,shopify,0,continue,93.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/tiger-costume_1080x1080_pad_ffffff.jpg.jpg?v=1645970865
tiger-kids-animal-velvet-costume,"Tiger Kids Animal Costume With Foot Cover & Mittens","Includes one-piece Jumpsuit with hands covered and a Back Zipper Separate Head mask with attached Ears with Opening for the Eyes Includes Feet flaps Material - Polar fabric Child Tiger Costume comes complete with an All in One Jumpsuit with separate Feet Covers and Mitten Hands. The Jumpsuit also includes an attached Tail. Completing the Outfit with the Character complete Headpiece with attached Ears, with an opening for the Eyes. Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,,,false,,,,,shopify,2,continue,93.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/tiger-costume_1080x1080_pad_ffffff.jpg.jpg?v=1645970865
tiger-kids-animal-velvet-costume,"Tiger Kids Animal Costume With Foot Cover & Mittens","Includes one-piece Jumpsuit with hands covered and a Back Zipper Separate Head mask with attached Ears with Opening for the Eyes Includes Feet flaps Material - Polar fabric Child Tiger Costume comes complete with an All in One Jumpsuit with separate Feet Covers and Mitten Hands. The Jumpsuit also includes an attached Tail. Completing the Outfit with the Character complete Headpiece with attached Ears, with an opening for the Eyes. Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,,,false,,,,,shopify,2,continue,93.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/tiger-costume_1080x1080_pad_ffffff.jpg.jpg?v=1645970865
tiger-kids-animal-velvet-costume,"Tiger Kids Animal Costume With Foot Cover & Mittens","Includes one-piece Jumpsuit with hands covered and a Back Zipper Separate Head mask with attached Ears with Opening for the Eyes Includes Feet flaps Material - Polar fabric Child Tiger Costume comes complete with an All in One Jumpsuit with separate Feet Covers and Mitten Hands. The Jumpsuit also includes an attached Tail. Completing the Outfit with the Character complete Headpiece with attached Ears, with an opening for the Eyes. Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,,,false,,,,,shopify,2,continue,121.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/tiger-costume_1080x1080_pad_ffffff.jpg.jpg?v=1645970865
tiger-kids-animal-velvet-costume,"Tiger Kids Animal Costume With Foot Cover & Mittens","Includes one-piece Jumpsuit with hands covered and a Back Zipper Separate Head mask with attached Ears with Opening for the Eyes Includes Feet flaps Material - Polar fabric Child Tiger Costume comes complete with an All in One Jumpsuit with separate Feet Covers and Mitten Hands. The Jumpsuit also includes an attached Tail. Completing the Outfit with the Character complete Headpiece with attached Ears, with an opening for the Eyes. Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,,,false,,,,,shopify,2,continue,121.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/tiger-costume_1080x1080_pad_ffffff.jpg.jpg?v=1645970865
dior-sauvage-eau-de-parfum-perfume-100ml,"Dior Sauvage Eau De Parfum Perfume 100ml","The powerful freshness of Sauvage exudes new sensual and mysterious facets, amply renewing itself with the signature of an ingenious composition. Calabrian bergamot, as juicy and spirited as ever, invites new spicy notes to add fullness and sensuality, as the woody ambery trail of Ambroxan® is wrapped in the smoky accents of Papua New Guinean vanilla absolute for greater virility. François Demachy, Dior Perfumer-Creator, drew inspiration from the desert in the magical hour of twilight. Mixed with the coolness of the night, the burning desert air exudes profound fragrances. In the hour when the wolves come out and the sky is set ablaze, a new magic unfolds. On Emarkiz.com, you will not get fake fragrances unlike other Ecommerce marketplace sites. All of the perfumes and colognes that we have for sale are authentic brands, not replicas. We provide ONLY Authentic products at low prices.",Prince,,,false,,,,,shopify,5,continue,530.00,435.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Screen_Shot_2019-04-23_at_1.00.13_PM_2c4c1ced-a06b-44ee-a24f-82de15b415a4_1080x1080_pad_ffffff.png.jpg?v=1645794489
sheep-kids-velvet-animal-costume,"Sheep Kids Velvet Animal Costume","Includes one-piece Jumpsuit and a Back Zipper Separate Head mask with attached Ears & Horns with Opening for the Eyes Includes Feet Flaps and Hand Mittens Material - Velvet Polyester Mix Child Sheep Costume comes complete with an All in One Jumpsuit. The Jumpsuit also includes an attached Tail. Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,,,false,,,,,shopify,0,continue,89.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/sheep-velvet_267c7754-99d6-4d53-a109-bffc28360015_1080x1080_pad_ffffff.jpg.jpg?v=1645794494
